customer_id,churned,recency_days,frequency,monetary,avg_order_value,n_categories,customer_lifetime_days,purchase_rate,r_score,f_score,m_score,rfm_segment,region,acquisition_channel,age_band
C00340,0,4,2,1419.66,709.83,2,1,30.0,5,2,5,Recent Customers,Wales,Organic Search,55+
C00342,0,2,2,1266.9,633.45,1,37,1.579,5,2,5,Recent Customers,Yorkshire,Paid Search,25-34
C00343,1,733,1,141.44,141.44,1,0,30.0,1,1,1,Hibernating,Scotland,Organic Search,25-34
C00344,1,492,3,237.61,79.2,2,467,0.192,1,3,2,At Risk,South East,Paid Search,45-54
C00346,1,118,5,916.98,183.4,2,557,0.269,3,4,4,Loyal Customers,Yorkshire,Direct,45-54
C00348,0,21,3,374.35,124.78,3,114,0.783,5,3,2,Loyal Customers,Scotland,Organic Search,18-24
C00349,0,88,3,869.14,289.71,1,338,0.265,3,3,4,Loyal Customers,South West,Social Media,35-44
C00350,0,24,3,209.67,69.89,2,402,0.223,5,3,2,Loyal Customers,London,Organic Search,35-44
C00351,1,751,4,959.31,239.83,2,553,0.217,1,4,4,Cannot Lose Them,Scotland,Email,18-24
C00352,0,24,5,1813.02,362.6,3,576,0.26,5,4,5,Champions,London,Direct,18-24
C00353,1,150,3,292.23,97.41,2,189,0.474,3,3,2,Loyal Customers,Midlands,Paid Search,55+
C00355,1,224,1,196.62,196.62,1,0,30.0,2,1,1,Hibernating,South East,Paid Search,45-54
C00357,0,45,4,1083.54,270.88,2,224,0.533,4,4,5,Champions,South West,Paid Search,18-24
C00358,1,127,3,719.34,239.78,3,444,0.202,3,3,4,Loyal Customers,London,Organic Search,25-34
C00359,1,551,1,84.36,84.36,1,0,30.0,1,1,1,Hibernating,London,Social Media,35-44
C00360,0,46,6,906.89,151.15,3,500,0.359,4,5,4,Champions,London,Referral,35-44
C00361,1,174,2,400.85,200.42,1,365,0.164,3,2,3,Lost,London,Organic Search,18-24
C00362,1,177,2,182.26,91.13,2,440,0.136,3,2,1,Lost,South East,Direct,25-34
C00363,1,141,2,387.91,193.96,1,123,0.484,3,2,2,Lost,Wales,Email,25-34
C00364,1,972,1,79.11,79.11,1,0,30.0,1,1,1,Hibernating,North East,Referral,25-34
C00365,1,331,1,132.45,132.45,1,0,30.0,2,1,1,Hibernating,Yorkshire,Paid Search,18-24
C00366,1,173,3,571.98,190.66,2,340,0.264,3,3,3,Loyal Customers,South East,Social Media,35-44
C00367,1,155,5,674.8,134.96,2,563,0.266,3,4,4,Loyal Customers,Scotland,Organic Search,25-34
C00369,1,623,2,832.19,416.1,2,429,0.14,1,2,4,Hibernating,London,Email,35-44
C00370,1,153,4,505.69,126.42,1,792,0.151,3,4,3,Loyal Customers,Scotland,Organic Search,45-54
C00373,1,160,2,384.92,192.46,1,84,0.706,3,2,2,Lost,Yorkshire,Email,35-44
C00374,1,226,2,234.97,117.48,2,2,20.0,2,2,2,Hibernating,Scotland,Paid Search,18-24
C00375,0,49,4,453.66,113.42,2,64,1.846,4,4,3,Champions,Yorkshire,Email,35-44
C00376,0,6,9,2697.86,299.76,2,80,3.333,5,5,5,Champions,Scotland,Email,45-54
C00377,0,75,1,28.43,28.43,1,0,30.0,4,1,1,Recent Customers,Scotland,Referral,18-24
C00378,0,31,5,982.01,196.4,2,604,0.248,5,4,4,Champions,North East,Social Media,45-54
C00379,1,379,3,504.13,168.04,1,487,0.184,1,3,3,At Risk,North East,Social Media,35-44
C00380,0,73,5,838.61,167.72,2,352,0.425,4,4,4,Champions,South West,Organic Search,35-44
C00381,0,22,5,681.02,136.2,2,107,1.389,5,4,4,Champions,London,Direct,45-54
C00382,0,24,4,1661.79,415.45,2,28,4.138,5,4,5,Champions,London,Organic Search,25-34
C00383,1,613,2,167.06,83.53,1,26,2.222,1,2,1,Hibernating,South East,Organic Search,35-44
C00384,1,134,2,1193.6,596.8,2,609,0.098,3,2,5,Lost,South East,Organic Search,45-54
C00385,1,541,1,319.44,319.44,1,0,30.0,1,1,2,Hibernating,Yorkshire,Paid Search,18-24
C00387,1,362,1,102.73,102.73,1,0,30.0,2,1,1,Hibernating,North East,Organic Search,18-24
C00388,1,688,2,311.05,155.52,2,274,0.218,1,2,2,Hibernating,South East,Paid Search,45-54
C00389,1,276,1,181.94,181.94,1,0,30.0,2,1,1,Hibernating,Scotland,Email,55+
C00392,1,195,1,304.22,304.22,1,0,30.0,2,1,2,Hibernating,North West,Email,25-34
C00393,1,171,4,554.45,138.61,2,905,0.132,3,4,3,Loyal Customers,Wales,Social Media,25-34
C00394,1,511,2,239.95,119.98,2,79,0.75,1,2,2,Hibernating,Midlands,Referral,25-34
C00395,0,35,4,819.12,204.78,3,288,0.415,4,4,4,Champions,Yorkshire,Organic Search,18-24
C00397,1,473,1,278.07,278.07,1,0,30.0,1,1,2,Hibernating,Scotland,Social Media,55+
C00399,1,92,1,131.02,131.02,1,0,30.0,3,1,1,Lost,South West,Social Media,18-24
C00400,0,52,3,190.85,63.62,1,795,0.113,4,3,1,Loyal Customers,Scotland,Social Media,18-24
C00401,1,285,2,938.33,469.16,1,237,0.252,2,2,4,Hibernating,Midlands,Email,55+
C00402,1,149,2,187.92,93.96,1,90,0.659,3,2,1,Lost,North East,Paid Search,18-24
C00403,1,301,2,776.47,388.24,1,453,0.132,2,2,4,Hibernating,London,Organic Search,45-54
C00404,1,546,3,664.84,221.61,1,211,0.425,1,3,4,At Risk,North West,Organic Search,55+
C00405,1,382,3,916.1,305.37,2,126,0.709,1,3,4,At Risk,Midlands,Social Media,25-34
C00406,1,130,3,447.94,149.31,1,60,1.475,3,3,3,Loyal Customers,London,Organic Search,45-54
C00407,0,27,5,818.2,163.64,1,852,0.176,5,4,4,Champions,Midlands,Referral,35-44
C00409,1,471,2,159.97,79.98,2,111,0.536,1,2,1,Hibernating,South East,Organic Search,55+
C00410,1,240,2,360.71,180.36,1,20,2.857,2,2,2,Hibernating,South East,Paid Search,35-44
C00411,0,57,8,1883.27,235.41,3,681,0.352,4,5,5,Champions,South West,Email,25-34
C00412,0,81,6,1147.89,191.31,1,1087,0.165,4,5,5,Champions,Wales,Email,35-44
C00413,1,429,1,83.66,83.66,1,0,30.0,1,1,1,Hibernating,Wales,Social Media,35-44
C00414,1,179,4,553.06,138.26,2,1180,0.102,2,4,3,Cannot Lose Them,Yorkshire,Organic Search,55+
C00416,1,202,6,2110.68,351.78,2,465,0.386,2,5,5,Cannot Lose Them,Wales,Email,35-44
C00417,1,566,4,516.58,129.15,4,489,0.245,1,4,3,Cannot Lose Them,London,Organic Search,25-34
C00419,0,2,3,572.46,190.82,2,80,1.111,5,3,3,Loyal Customers,South East,Paid Search,45-54
C00421,1,128,9,1413.14,157.02,3,1119,0.241,3,5,5,Loyal Customers,Scotland,Organic Search,25-34
C00422,0,49,3,235.81,78.6,2,147,0.608,4,3,2,Loyal Customers,Yorkshire,Email,25-34
C00424,0,34,1,114.82,114.82,1,0,30.0,4,1,1,Recent Customers,North West,Social Media,25-34
C00425,1,91,2,187.64,93.82,1,203,0.294,3,2,1,Lost,Scotland,Direct,45-54
C00426,0,58,9,2379.68,264.41,2,268,1.004,4,5,5,Champions,London,Organic Search,55+
C00427,1,214,2,358.02,179.01,1,36,1.622,2,2,2,Hibernating,Midlands,Paid Search,18-24
C00429,0,34,1,303.56,303.56,1,0,30.0,4,1,2,Recent Customers,South East,Organic Search,18-24
C00430,0,44,4,727.72,181.93,3,761,0.157,4,4,4,Champions,Wales,Paid Search,45-54
C00431,1,438,1,119.65,119.65,1,0,30.0,1,1,1,Hibernating,North East,Paid Search,35-44
C00432,1,186,2,430.93,215.46,1,18,3.158,2,2,3,Hibernating,North West,Organic Search,18-24
C00433,1,379,1,284.14,284.14,1,0,30.0,1,1,2,Hibernating,London,Referral,25-34
C00434,0,38,7,774.79,110.68,2,988,0.212,4,5,4,Champions,North East,Referral,45-54
C00435,0,68,1,95.16,95.16,1,0,30.0,4,1,1,Recent Customers,Scotland,Social Media,18-24
C00437,0,37,2,246.82,123.41,1,503,0.119,4,2,2,Recent Customers,North West,Social Media,35-44
C00438,1,282,2,668.9,334.45,1,174,0.343,2,2,4,Hibernating,London,Organic Search,45-54
C00439,1,523,1,47.08,47.08,1,0,30.0,1,1,1,Hibernating,North East,Social Media,25-34
C00440,0,59,3,350.56,116.85,1,151,0.592,4,3,2,Loyal Customers,South West,Paid Search,45-54
C00441,0,24,4,1012.54,253.14,1,848,0.141,5,4,4,Champions,Scotland,Organic Search,55+
C00442,0,2,2,1071.36,535.68,1,67,0.882,5,2,5,Recent Customers,North East,Email,25-34
C00443,1,228,1,85.04,85.04,1,0,30.0,2,1,1,Hibernating,North East,Paid Search,18-24
C00446,1,307,2,568.1,284.05,2,443,0.135,2,2,3,Hibernating,London,Direct,25-34
C00447,0,15,3,345.75,115.25,1,16,5.294,5,3,2,Loyal Customers,Yorkshire,Organic Search,45-54
C00449,1,492,4,395.55,98.89,1,79,1.5,1,4,3,Cannot Lose Them,North West,Direct,35-44
C00450,1,279,1,438.13,438.13,1,0,30.0,2,1,3,Hibernating,South East,Paid Search,18-24
C00451,1,346,2,198.23,99.12,1,356,0.168,2,2,2,Hibernating,Wales,Social Media,45-54
C00453,0,39,4,429.36,107.34,2,1076,0.111,4,4,3,Champions,Wales,Organic Search,35-44
C00454,1,123,2,343.73,171.86,2,92,0.645,3,2,2,Lost,North West,Paid Search,25-34
C00455,0,16,4,406.77,101.69,1,47,2.5,5,4,3,Champions,Midlands,Email,35-44
C00456,0,23,6,1466.93,244.49,4,1080,0.167,5,5,5,Champions,Wales,Organic Search,35-44
C00457,1,358,1,114.44,114.44,1,0,30.0,2,1,1,Hibernating,South West,Social Media,35-44
C00458,0,83,1,77.78,77.78,1,0,30.0,4,1,1,Recent Customers,South East,Organic Search,55+
C00459,1,102,2,246.23,123.12,1,17,3.333,3,2,2,Lost,Midlands,Organic Search,45-54
C00460,0,32,4,1034.82,258.7,3,419,0.286,5,4,5,Champions,South West,Paid Search,25-34
C00462,0,50,3,350.72,116.91,2,215,0.417,4,3,2,Loyal Customers,London,Paid Search,55+
C00463,0,79,6,1140.81,190.14,4,1004,0.179,4,5,5,Champions,North West,Social Media,35-44
C00464,0,26,3,721.86,240.62,2,906,0.099,5,3,4,Loyal Customers,South West,Organic Search,18-24
C00465,0,34,6,707.9,117.98,3,355,0.506,4,5,4,Champions,North West,Organic Search,25-34
C00466,1,102,1,53.77,53.77,1,0,30.0,3,1,1,Lost,Midlands,Email,45-54
C00467,1,250,2,205.08,102.54,1,84,0.706,2,2,2,Hibernating,Wales,Email,45-54
C00470,1,818,1,155.69,155.69,1,0,30.0,1,1,1,Hibernating,Scotland,Paid Search,45-54
C00471,0,47,3,604.45,201.48,2,715,0.126,4,3,3,Loyal Customers,Yorkshire,Organic Search,18-24
C00472,1,291,6,803.84,133.97,1,305,0.588,2,5,4,Cannot Lose Them,South East,Organic Search,25-34
C00473,0,10,9,1133.8,125.98,5,289,0.931,5,5,5,Champions,Yorkshire,Social Media,45-54
C00474,1,465,3,534.18,178.06,1,272,0.33,1,3,3,At Risk,London,Organic Search,35-44
C00475,1,1018,3,542.51,180.84,2,73,1.216,1,3,3,At Risk,London,Direct,45-54
C00476,0,36,3,759.69,253.23,2,12,6.923,4,3,4,Loyal Customers,North West,Paid Search,18-24
C00477,1,184,8,683.95,85.49,2,1024,0.234,2,5,4,Cannot Lose Them,Scotland,Paid Search,55+
C00479,1,638,2,107.49,53.74,2,28,2.069,1,2,1,Hibernating,North West,Paid Search,45-54
C00480,1,259,3,442.78,147.59,1,92,0.968,2,3,3,At Risk,Yorkshire,Organic Search,25-34
C00481,0,88,1,276.3,276.3,1,0,30.0,3,1,2,Lost,London,Email,25-34
C00482,0,62,4,768.46,192.11,3,268,0.446,4,4,4,Champions,London,Paid Search,55+
C00483,1,748,2,267.96,133.98,1,323,0.185,1,2,2,Hibernating,North West,Paid Search,45-54
C00485,1,836,1,161.0,161.0,1,0,30.0,1,1,1,Hibernating,London,Paid Search,25-34
C00486,0,33,3,650.96,216.99,2,59,1.5,4,3,4,Loyal Customers,South West,Social Media,35-44
C00487,0,10,9,1216.29,135.14,3,1162,0.232,5,5,5,Champions,Yorkshire,Email,25-34
C00488,1,444,4,197.82,49.46,2,420,0.285,1,4,2,Cannot Lose Them,South West,Social Media,25-34
C00490,1,91,4,1000.14,250.04,3,464,0.258,3,4,4,Loyal Customers,North West,Email,25-34
C00491,1,878,1,141.18,141.18,1,0,30.0,1,1,1,Hibernating,South East,Social Media,55+
C00492,1,1269,1,159.36,159.36,1,0,30.0,1,1,1,Hibernating,Scotland,Paid Search,25-34
C00493,1,814,2,968.59,484.29,1,307,0.195,1,2,4,Hibernating,North West,Organic Search,45-54
C00494,1,115,3,266.15,88.72,1,98,0.909,3,3,2,Loyal Customers,Wales,Paid Search,25-34
C00495,1,253,4,444.22,111.06,1,516,0.232,2,4,3,Cannot Lose Them,North East,Email,35-44
C00496,0,10,2,376.37,188.18,1,23,2.5,5,2,2,Recent Customers,Scotland,Paid Search,35-44
C00497,1,117,3,132.28,44.09,2,531,0.169,3,3,1,Loyal Customers,South East,Direct,45-54
C00498,1,293,1,284.02,284.02,1,0,30.0,2,1,2,Hibernating,North East,Direct,25-34
C00499,0,43,4,495.59,123.9,2,68,1.739,4,4,3,Champions,North West,Email,45-54
C00500,0,62,2,309.2,154.6,2,636,0.094,4,2,2,Recent Customers,Yorkshire,Organic Search,25-34
C00501,1,336,2,256.27,128.14,1,139,0.429,2,2,2,Hibernating,Wales,Paid Search,35-44
C00502,0,40,5,671.66,134.33,1,165,0.904,4,4,4,Champions,Yorkshire,Social Media,35-44
C00503,0,11,5,1017.54,203.51,3,511,0.293,5,4,4,Champions,South West,Social Media,25-34
C00504,0,21,2,465.94,232.97,2,3,15.0,5,2,3,Recent Customers,North East,Organic Search,25-34
C00505,1,131,2,51.49,25.74,1,166,0.359,3,2,1,Lost,South East,Email,25-34
C00506,1,325,5,843.65,168.73,3,1034,0.145,2,4,4,Cannot Lose Them,Yorkshire,Social Media,18-24
C00507,0,2,4,392.27,98.07,2,166,0.719,5,4,3,Champions,Midlands,Organic Search,25-34
C00508,0,38,3,504.38,168.13,1,477,0.188,4,3,3,Loyal Customers,South West,Organic Search,25-34
C00509,0,42,7,1357.02,193.86,4,599,0.35,4,5,5,Champions,London,Paid Search,25-34
C00510,0,70,5,504.66,100.93,1,55,2.679,4,4,3,Champions,London,Organic Search,25-34
C00511,1,327,2,481.67,240.83,2,898,0.067,2,2,3,Hibernating,London,Direct,25-34
C00512,1,393,2,734.99,367.5,1,757,0.079,1,2,4,Hibernating,North East,Paid Search,25-34
C00513,1,353,1,91.55,91.55,1,0,30.0,2,1,1,Hibernating,North West,Paid Search,35-44
C00514,1,372,2,772.06,386.03,2,273,0.219,1,2,4,Hibernating,Scotland,Paid Search,55+
C00515,1,633,3,247.89,82.63,1,529,0.17,1,3,2,At Risk,South West,Paid Search,35-44
C00516,0,3,3,1054.79,351.6,2,823,0.109,5,3,5,Loyal Customers,South West,Organic Search,35-44
C00517,0,30,5,895.49,179.1,1,669,0.224,5,4,4,Champions,Yorkshire,Email,18-24
C00518,0,67,9,879.88,97.76,3,195,1.378,4,5,4,Champions,London,Paid Search,55+
C00519,0,50,1,385.49,385.49,1,0,30.0,4,1,2,Recent Customers,North West,Organic Search,55+
C00520,1,273,1,167.53,167.53,1,0,30.0,2,1,1,Hibernating,London,Organic Search,35-44
C00521,1,236,2,123.83,61.92,1,242,0.247,2,2,1,Hibernating,South West,Email,35-44
C00522,1,462,2,133.94,66.97,1,720,0.083,1,2,1,Hibernating,South East,Social Media,55+
C00523,1,193,1,304.03,304.03,1,0,30.0,2,1,2,Hibernating,Yorkshire,Social Media,18-24
C00524,0,2,2,756.37,378.18,2,94,0.632,5,2,4,Recent Customers,Scotland,Direct,18-24
C00525,0,47,7,1671.62,238.8,4,981,0.214,4,5,5,Champions,Yorkshire,Organic Search,25-34
C00528,0,48,4,1111.5,277.88,2,360,0.332,4,4,5,Champions,South East,Social Media,45-54
C00529,0,25,3,737.8,245.93,1,17,5.0,5,3,4,Loyal Customers,Yorkshire,Paid Search,18-24
C00530,0,85,2,319.3,159.65,1,513,0.117,4,2,2,Recent Customers,South East,Paid Search,45-54
C00531,0,7,4,900.62,225.16,3,241,0.496,5,4,4,Champions,South East,Social Media,35-44
C00532,1,174,1,102.59,102.59,1,0,30.0,3,1,1,Lost,South West,Social Media,35-44
C00533,1,134,1,22.64,22.64,1,0,30.0,3,1,1,Lost,North East,Direct,35-44
C00535,1,879,2,114.72,57.36,1,157,0.38,1,2,1,Hibernating,London,Organic Search,35-44
C00536,0,90,1,63.54,63.54,1,0,30.0,3,1,1,Lost,Scotland,Paid Search,45-54
C00537,0,6,4,857.53,214.38,1,244,0.49,5,4,4,Champions,Midlands,Organic Search,25-34
C00538,0,63,2,1101.36,550.68,1,480,0.125,4,2,5,Recent Customers,Midlands,Email,45-54
C00539,0,33,4,442.82,110.71,2,296,0.404,4,4,3,Champions,London,Email,25-34
C00540,0,10,6,735.18,122.53,3,81,2.195,5,5,4,Champions,South East,Email,45-54
C00541,1,257,2,373.92,186.96,1,344,0.174,2,2,2,Hibernating,London,Paid Search,35-44
C00542,0,22,3,757.94,252.65,2,113,0.789,5,3,4,Loyal Customers,South East,Direct,55+
C00543,1,107,1,201.59,201.59,1,0,30.0,3,1,2,Lost,Yorkshire,Paid Search,35-44
C00544,1,482,1,122.22,122.22,1,0,30.0,1,1,1,Hibernating,South West,Direct,35-44
C00545,0,28,3,502.42,167.47,2,190,0.471,5,3,3,Loyal Customers,South East,Paid Search,55+
C00546,1,126,2,515.67,257.83,1,268,0.223,3,2,3,Lost,London,Email,55+
C00547,0,16,2,373.43,186.72,2,48,1.224,5,2,2,Recent Customers,London,Paid Search,45-54
C00549,1,420,1,130.36,130.36,1,0,30.0,1,1,1,Hibernating,London,Social Media,35-44
C00550,0,84,2,403.71,201.86,1,8,6.667,4,2,3,Recent Customers,South East,Social Media,25-34
C00551,0,21,2,607.75,303.88,2,11,5.0,5,2,3,Recent Customers,London,Referral,25-34
C00552,1,426,3,461.46,153.82,2,734,0.122,1,3,3,At Risk,South East,Organic Search,35-44
C00556,0,13,5,405.68,81.14,1,518,0.289,5,4,3,Champions,London,Email,25-34
C00557,1,107,9,1380.23,153.36,3,500,0.539,3,5,5,Loyal Customers,London,Organic Search,25-34
C00559,0,88,2,523.79,261.9,2,65,0.909,3,2,3,Lost,Scotland,Paid Search,25-34
C00560,1,395,5,1309.83,261.97,3,593,0.253,1,4,5,Cannot Lose Them,South East,Organic Search,45-54
C00561,0,40,2,365.44,182.72,1,559,0.107,4,2,2,Recent Customers,London,Email,45-54
C00562,1,124,3,442.04,147.35,2,184,0.486,3,3,3,Loyal Customers,London,Email,45-54
C00563,0,32,1,216.67,216.67,1,0,30.0,5,1,2,Recent Customers,Scotland,Email,25-34
C00564,1,160,2,362.91,181.46,1,511,0.117,3,2,2,Lost,London,Organic Search,18-24
C00565,1,104,4,1167.16,291.79,2,667,0.18,3,4,5,Loyal Customers,Wales,Organic Search,45-54
C00566,1,269,1,34.49,34.49,1,0,30.0,2,1,1,Hibernating,Midlands,Organic Search,25-34
C00567,1,209,5,951.52,190.3,2,311,0.481,2,4,4,Cannot Lose Them,Wales,Organic Search,25-34
C00568,0,2,5,531.81,106.36,3,142,1.049,5,4,3,Champions,London,Email,35-44
C00569,0,43,3,1072.97,357.66,3,232,0.386,4,3,5,Loyal Customers,North West,Social Media,25-34
C00570,1,184,7,892.56,127.51,3,1254,0.167,2,5,4,Cannot Lose Them,London,Email,25-34
C00571,1,204,2,717.88,358.94,2,280,0.214,2,2,4,Hibernating,South East,Paid Search,25-34
C00572,1,183,2,92.12,46.06,2,110,0.541,2,2,1,Hibernating,Wales,Organic Search,35-44
C00574,0,24,1,260.54,260.54,1,0,30.0,5,1,2,Recent Customers,London,Paid Search,55+
C00575,0,22,3,304.7,101.57,2,406,0.221,5,3,2,Loyal Customers,South West,Organic Search,18-24
C00576,0,22,5,1303.99,260.8,4,92,1.613,5,4,5,Champions,Scotland,Referral,35-44
C00578,0,31,5,1078.35,215.67,2,173,0.862,5,4,5,Champions,South East,Paid Search,25-34
C00579,0,34,5,1482.34,296.47,3,874,0.171,4,4,5,Champions,South East,Social Media,25-34
C00581,1,698,1,28.27,28.27,1,0,30.0,1,1,1,Hibernating,Scotland,Email,25-34
C00582,0,65,3,729.8,243.27,1,650,0.138,4,3,4,Loyal Customers,Scotland,Organic Search,35-44
C00583,1,119,3,510.1,170.03,1,94,0.947,3,3,3,Loyal Customers,North West,Organic Search,55+
C00584,0,36,1,225.51,225.51,1,0,30.0,4,1,2,Recent Customers,South East,Organic Search,25-34
C00585,0,74,3,325.36,108.45,2,110,0.811,4,3,2,Loyal Customers,North East,Organic Search,35-44
C00586,1,555,2,269.44,134.72,2,6,8.571,1,2,2,Hibernating,North West,Paid Search,55+
C00587,1,227,1,53.59,53.59,1,0,30.0,2,1,1,Hibernating,Midlands,Paid Search,25-34
C00588,0,44,5,449.41,89.88,2,349,0.429,4,4,3,Champions,North East,Email,18-24
C00589,0,12,2,448.91,224.46,1,19,3.0,5,2,3,Recent Customers,London,Organic Search,55+
C00590,1,236,6,1296.95,216.16,2,636,0.283,2,5,5,Cannot Lose Them,South East,Organic Search,25-34
C00592,1,490,5,1075.55,215.11,1,494,0.303,1,4,5,Cannot Lose Them,South West,Paid Search,18-24
C00593,1,257,2,134.55,67.28,1,728,0.082,2,2,1,Hibernating,North East,Organic Search,18-24
C00594,1,216,2,675.65,337.82,2,769,0.078,2,2,4,Hibernating,Scotland,Organic Search,55+
C00595,1,112,5,435.52,87.1,1,576,0.26,3,4,3,Loyal Customers,London,Email,25-34
C00596,0,15,4,1648.06,412.02,1,288,0.415,5,4,5,Champions,Yorkshire,Paid Search,35-44
C00597,1,402,1,348.57,348.57,1,0,30.0,1,1,2,Hibernating,Scotland,Social Media,25-34
C00598,1,225,1,288.55,288.55,1,0,30.0,2,1,2,Hibernating,London,Organic Search,25-34
C00599,1,469,3,462.74,154.25,2,780,0.115,1,3,3,At Risk,South West,Organic Search,25-34
C00600,1,249,2,229.24,114.62,1,102,0.583,2,2,2,Hibernating,South East,Email,45-54
C00601,1,535,1,187.16,187.16,1,0,30.0,1,1,1,Hibernating,Midlands,Organic Search,18-24
C00602,1,249,5,1008.62,201.72,2,427,0.35,2,4,4,Cannot Lose Them,Wales,Referral,35-44
C00603,1,97,3,420.82,140.27,2,58,1.525,3,3,3,Loyal Customers,Wales,Social Media,35-44
C00604,1,738,2,140.19,70.1,2,63,0.938,1,2,1,Hibernating,London,Paid Search,18-24
C00605,0,44,5,1362.36,272.47,3,64,2.308,4,4,5,Champions,Scotland,Organic Search,25-34
C00606,0,12,4,535.57,133.89,1,200,0.597,5,4,3,Champions,South East,Direct,55+
C00607,1,131,2,144.55,72.28,1,94,0.632,3,2,1,Lost,London,Organic Search,45-54
C00608,0,15,6,2766.75,461.12,1,91,1.957,5,5,5,Champions,North West,Organic Search,55+
C00609,1,183,1,180.45,180.45,1,0,30.0,2,1,1,Hibernating,South West,Organic Search,18-24
C00610,0,33,6,1105.03,184.17,3,529,0.34,4,5,5,Champions,North East,Paid Search,25-34
C00611,1,113,3,767.42,255.81,1,719,0.125,3,3,4,Loyal Customers,Midlands,Social Media,45-54
C00612,1,206,3,489.85,163.28,2,295,0.304,2,3,3,At Risk,Scotland,Paid Search,25-34
C00613,1,270,3,797.0,265.67,2,312,0.288,2,3,4,At Risk,London,Organic Search,55+
C00614,1,453,6,619.72,103.29,2,673,0.267,1,5,3,Cannot Lose Them,Scotland,Referral,55+
C00616,1,178,5,1014.82,202.96,3,1143,0.131,2,4,4,Cannot Lose Them,Wales,Paid Search,18-24
C00617,1,167,1,47.16,47.16,1,0,30.0,3,1,1,Lost,South West,Email,18-24
C00618,1,317,2,579.26,289.63,1,89,0.667,2,2,3,Hibernating,Yorkshire,Paid Search,25-34
C00619,1,615,6,887.04,147.84,3,634,0.283,1,5,4,Cannot Lose Them,London,Social Media,18-24
C00621,1,126,3,400.5,133.5,1,325,0.276,3,3,3,Loyal Customers,South East,Organic Search,25-34
C00622,0,7,5,1037.01,207.4,3,433,0.346,5,4,5,Champions,Midlands,Direct,45-54
C00623,0,62,8,1777.64,222.2,2,1190,0.202,4,5,5,Champions,South East,Paid Search,35-44
C00624,1,206,1,104.29,104.29,1,0,30.0,2,1,1,Hibernating,South West,Organic Search,45-54
C00625,1,174,2,249.47,124.73,1,72,0.822,3,2,2,Lost,North East,Email,25-34
C00626,1,235,3,676.88,225.63,1,1008,0.089,2,3,4,At Risk,Scotland,Organic Search,35-44
C00627,1,132,2,197.77,98.88,1,162,0.368,3,2,1,Lost,Midlands,Email,18-24
C00628,0,88,4,459.71,114.93,3,562,0.213,3,4,3,Loyal Customers,London,Organic Search,35-44
C00629,1,148,1,48.55,48.55,1,0,30.0,3,1,1,Lost,South East,Paid Search,45-54
C00630,1,232,2,175.58,87.79,1,855,0.07,2,2,1,Hibernating,North West,Email,45-54
C00631,1,420,5,1236.45,247.29,3,364,0.411,1,4,5,Cannot Lose Them,Scotland,Organic Search,45-54
C00632,1,443,4,869.39,217.35,2,600,0.2,1,4,4,Cannot Lose Them,Wales,Email,25-34
C00634,1,107,1,332.06,332.06,1,0,30.0,3,1,2,Lost,London,Organic Search,18-24
C00635,0,89,2,771.32,385.66,1,850,0.071,3,2,4,Lost,London,Direct,35-44
C00636,1,751,1,159.88,159.88,1,0,30.0,1,1,1,Hibernating,North West,Paid Search,18-24
C00637,1,97,5,1501.65,300.33,2,276,0.542,3,4,5,Loyal Customers,Yorkshire,Email,25-34
C00638,1,247,5,547.93,109.59,2,573,0.261,2,4,3,Cannot Lose Them,South West,Organic Search,25-34
C00640,0,42,1,330.5,330.5,1,0,30.0,4,1,2,Recent Customers,London,Organic Search,45-54
C00643,1,359,3,367.7,122.57,1,649,0.138,2,3,2,At Risk,Wales,Paid Search,45-54
C00644,1,898,1,175.62,175.62,1,0,30.0,1,1,1,Hibernating,Midlands,Direct,45-54
C00645,0,54,7,2493.57,356.22,2,522,0.402,4,5,5,Champions,Wales,Organic Search,18-24
C00646,1,257,1,6.52,6.52,1,0,30.0,2,1,1,Hibernating,London,Organic Search,35-44
C00647,1,125,5,755.56,151.11,3,731,0.205,3,4,4,Loyal Customers,Yorkshire,Organic Search,35-44
C00648,1,222,2,542.35,271.18,1,197,0.303,2,2,3,Hibernating,London,Organic Search,25-34
C00649,0,5,2,235.08,117.54,1,239,0.25,5,2,2,Recent Customers,Wales,Email,35-44
C00650,0,68,7,1718.43,245.49,2,961,0.218,4,5,5,Champions,Scotland,Social Media,45-54
C00651,1,150,1,31.25,31.25,1,0,30.0,3,1,1,Lost,London,Paid Search,25-34
C00652,1,194,2,235.35,117.68,2,89,0.667,2,2,2,Hibernating,North West,Direct,25-34
C00653,1,334,5,898.37,179.67,2,738,0.203,2,4,4,Cannot Lose Them,Yorkshire,Organic Search,35-44
C00655,1,155,4,1699.03,424.76,2,1102,0.109,3,4,5,Loyal Customers,London,Direct,18-24
C00657,0,79,1,39.14,39.14,1,0,30.0,4,1,1,Recent Customers,Wales,Organic Search,18-24
C00658,0,9,3,1061.97,353.99,2,75,1.184,5,3,5,Loyal Customers,South West,Paid Search,18-24
C00659,1,176,3,480.64,160.21,2,629,0.143,3,3,3,Loyal Customers,Wales,Organic Search,55+
C00660,1,550,2,547.79,273.9,1,192,0.311,1,2,3,Hibernating,London,Organic Search,35-44
C00661,1,225,3,922.28,307.43,1,322,0.279,2,3,4,At Risk,Wales,Organic Search,45-54
